CDM project reference number,Unique project identifier (traceable with Google),Registration project title,Type of CDM project: PA/PoA,Project classification,Sectoral scope number(s),Methodologies used at registration,Project type (UNEP DTU),Project subtype (UNEP DTU),DOE,Start of validation,PA:Initial registration request/PoA:First CPA request,PA:Lastest registration request/PoA:Lastest CPA request,"Date of EB decision (see EB59 Annex 12, §25)",Registered or rejected,Simplified project status,Website project status,Type of crediting period,Start of first crediting period,End of first crediting period, Amount Of Reductions (PDD ex-ante) per year in CP1 (PoA based on the sum of curr ,Status of the second CP request,Second crediting period: renew date,Second crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP2 ,Start of Second crediting period,End of second crediting period,Status of the third CP request,Third crediting period: renew date,Third crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP3 ,Start of third crediting period,End of third crediting period,List of host countries (ISO 2),UNFCCC region,LDC country,Country Region,SID country,Country subregion,First issuance,Lastest issuance, Total CERs issued , Count of issuances of CER , Count of issuances of CER for KP1 , Total CERs issued for KP1 , Count of issuances of CER for KP2 , Total CERs issued for KP2 , Installed capacity (MW elec/thermal) ,Kind of additional revenue, Total capital investment (USD) , Total O&M costs (USD/year) , Additional revenue (USD) , Estimated IRR benchmark , Estimated IRR excluding CERs , Estimated IRR including CERs ,Issuance (Para 218)/ Registration (Para 219),Last information provided on para. 218 and 219 of the PCP,Date of last information provided on Para. 218 and 219 of the PCP,Number of CPAs per host party (PoA),Amount of reduction per host party (PoA),Crediting type of the CPAs,Chronological number of registered CDM activity by country,Last communication with the Secretariat,Projects which cannot be renewed,Reporting date
255,7AETQFIQ0RTJB9LBAWG63IET03KST1,Demand-side energy efficiency programme in the ‘Humidification Towers’ of Jaya Shree Textiles,PA,SMALL,3,AMS-II.C. 7.0,EE Industry,Textiles,SGS United Kingdom Limited (SGS),09-09-05,20-01-06,20-01-06,14-04-06,14-04-06,End of crediting period,Registered,Fixed,01-11-00,31-10-10,"3,393",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,04-06-07,13-07-09,"51,487",2,2,"51,487",, -   ,,None,,,,,,,,,,,,,IN(30),2011m3,No,10-Oct-24
261,S77N25PGN0J8T1ALKYLLN7UHHPGCCQ,"Energy efficiency through steam optimisation projects at RIL, Hazira,",PA,LARGE,3,AM0018 1.1,EE Industry,Petrochemicals,Bureau Veritas Certification Holding SAS (BVCH),10-11-05,10-02-06,10-02-06,17-04-06,17-04-06,End of crediting period,Registered,Fixed,01-04-04,31-03-14,"23,391",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,04-06-07,28-10-09,"78,779",2,2,"78,779",, -   ,,None,,,,,,,,,,,,,IN(36),2009m10,No,10-Oct-24
262,HB0RFDG5VAZ6NHBL454AR756WUSVQE,Energy efficiency projects-Steam system upgradation at the manufacturing unit of Birla tyres.,PA,SMALL,3; 4,AMS-II.D. 7.0,EE Industry,Petrochemicals,Det Norske Veritas- CUK,25-08-05,13-02-06,13-02-06,14-04-06,14-04-06,End of crediting period,Registered,Fixed,01-07-06,30-06-16,"4,585",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(29),2009m3,No,10-Oct-24
264,AXL8AJ92HZB0HE8270YNWTLJR74AIC,Waste heat based 7 MW Captive Power Project Godawari Power and Ispat Ltd (GPIL),PA,LARGE,1,ACM0004 1.0,EE own generation,Iron & steel heat,SGS United Kingdom Limited (SGS),20-09-05,10-02-06,10-02-06,16-04-06,16-04-06,End of crediting period,Registered,Fixed,01-09-02,31-08-12,"17,828",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,04-08-06,15-01-15,"194,247",5,5,"194,247",, -   ,,None,,,,,,,,,,,,,IN(35),2015m1,No,10-Oct-24
266,EIDCNBKV3G9Y0AFMTR7NQUK0KJ5BHU,Thermal Efficiency Improvement Initiatives in Coal Fired Boiler System,PA,SMALL,1,AMS-II.B. 7.0,EE supply side,Higher efficiency steam boiler,SGS United Kingdom Limited (SGS),06-06-05,13-02-06,13-02-06,14-04-06,14-04-06,End of crediting period,Registered,Fixed,01-04-01,31-03-11,"5,424",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,Issuance Process,The verification contract has been terminated,24-11-14,,,,IN(32),2014m11,No,10-Oct-24
267,VKSJXYB8HLF29S0TAPBDQTNQG5RLS1,"5 MW Wind Power Project at Baramsar and Soda Mada, district Jaisalmer, Rajasthan, India.",PA,SMALL,1,AMS-I.D. 7.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),08-11-05,17-02-06,17-02-06,14-04-06,14-04-06,End of crediting period,Registered,Fixed,16-06-03,15-06-13,"5,804",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,26-03-07,17-11-22,"47,626",4,4,"45,732",1,"1,894",5,None,"2,603,037",,,,,,,,,,,,IN(33),2022m11,No,10-Oct-24
273,ARDE3LZ7JGZV5MMNBAMM5Z6ZUCQUW5,"Vajra and Chaskaman small hydro projects of Vindhyachal Hydro Power Ltd., Maharashtra, India.",PA,SMALL,1,AMS-I.D. 7.0,Hydro,Run of river,Bureau Veritas Certification Holding SAS (BVCH),12-10-05,18-02-06,18-02-06,15-05-06,15-05-06,End of crediting period,Registered,Fixed,01-04-02,31-03-12,"19,132",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,13-07-06,23-03-12,"173,426",6,6,"173,426",, -   ,6,None,,,,,,,,,,,,,IN(50),2012m3,No,10-Oct-24
274,MUYYM0LAA1H8ANPQ0VH9HX4AKEZ1FJ,TSIL – Waste Heat Recovery Based Power Project,PA,LARGE,1,ACM0004 1.0,EE own generation,Iron & steel heat,Det Norske Veritas- CUK,17-09-05,22-02-06,22-02-06,12-05-06,12-05-06,End of crediting period,Registered,Fixed,01-01-02,31-12-11,"31,762",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,27-12-06,12-12-08,"131,867",2,2,"131,867",, -   ,,None,,,,,,,,,,,,,IN(49),2008m12,No,10-Oct-24
276,3QERBJ5WK4JS2QALOWX7G1UK3A0JXR,Bundled wind power project in Chitradurga (Karnataka in India) managed by Enercon (India) Ltd.,PA,LARGE,1,ACM0002 4.0,Wind,Wind,Det Norske Veritas- CUK,28-05-05,24-02-06,24-02-06,12-05-06,12-05-06,End of crediting period,Registered,Fixed,03-06-02,02-06-12,"42,221",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,06-11-06,01-02-13,"431,825",5,5,"431,825",, -   ,16.8,None,"21,282,236",,,14,12.8,15.2,,,,,,,IN(48),2013m2,No,10-Oct-24
277,GWSEOBDLA2CKX7JJJB3N3JH309DGZD,"12.3 MW wind energy project in Tamil Nadu, India",PA,SMALL,1,AMS-I.D. 7.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),08-11-05,22-02-06,22-02-06,22-04-06,22-04-06,End of crediting period,Registered,Renewable,11-03-04,10-03-11,"14,416",Renewed,18-03-13,18-03-13,"14,587.00",11-03-11,10-03-18,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,04-09-06,09-09-13,"82,350",3,3,"82,350",, -   ,12.3,None,"11,427,939",,,16,12.9,13.4,Registration Process,Operating under CDM,01-07-18,,,,IN(37),2018m7,Yes,10-Oct-24
281,DQZADS0DO9A6I71R9UNWCF956ZI7ZF,4.5 MW Biomass (Agricultural Residue) Based Power Generation Unit of M/s Matrix Power Pvt. Ltd. (MPPL),PA,SMALL,1,AMS-I.D. 7.0,Biomass Energy,Agricultural residues: other kinds,TÜV SÜD South Asia Private Limited (TÜV SÜD),15-09-05,22-02-06,22-02-06,21-07-06,21-07-06,End of crediting period,Registered,Renewable,15-08-01,14-08-08,"21,621",Renewed,08-12-08,08-12-08,"22,299.00",15-08-08,14-08-15,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,24-11-06,20-03-12,"192,869",6,6,"192,869",, -   ,4.5,None,,,,,,,,,,,,,IN(76),2012m3,Yes,10-Oct-24
282,H0SH5JJDEFEKS6G1KC5SRZHOVPMUHU,"Bagasse based power project at Jamkhandi Sugars Limited, Bagalkot, Karnataka",PA,SMALL,1,AMS-I.D. 8.0,Biomass Energy,Bagasse power,Bureau Veritas Certification Holding SAS (BVCH),08-11-05,01-04-06,01-04-06,24-08-06,24-08-06,End of crediting period,Registered,Fixed,01-01-03,31-12-12,"14,720",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,03-05-07,03-05-07,"34,679",1,1,"34,679",, -   ,12.3,None,,,,,,,,,,,,,IN(85),2011m1,No,10-Oct-24
284,Q3ZAG11B6DHEYOV3Q3KY3DBSLIOWQI,"Waste Heat Recovery Power Project at JK Cement Works (Unit of JK Cement Limited), Nimbahera, Chittorgarh, Rajasthan",PA,LARGE,1,ACM0004 1.0,EE own generation,Cement heat,TÜV SÜD South Asia Private Limited (TÜV SÜD),21-12-05,23-02-06,23-02-06,15-05-06,15-05-06,End of crediting period,Registered,Fixed,01-04-08,31-03-18,"70,796",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,01-10-09,27-12-12,"161,034",6,6,"161,034",, -   ,,None,,,,,,,,,,,,,IN(51),2012m12,No,10-Oct-24
287,3LD1VFQV80P38Q5ZYTTC0RHQUVKBSS,"ACC Blended cement projects at New Wadi Plant, Tikaria Cement Plant, Chanda Cement Works, Kymore Cement Works,  Lakheri Cement Works and Chaibasa Cement Works",PA,LARGE,4,ACM0005 2.0,Cement,Clinker replacement,SGS United Kingdom Limited (SGS),20-10-05,24-02-06,24-02-06,21-05-06,21-05-06,End of crediting period,Registered,Fixed,01-04-04,31-03-14,"405,314",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,06-11-12,13-06-14,"1,054,697",6,6,"1,054,697",, -   ,,None,,,,,,,,,,,,,IN(54),2014m6,No,10-Oct-24
298,8ZLPTKKD3OV1MD2ED3SYC251MFASNM,4.5 MW Biomass (low density Crop Residues) based Power Generation unit of Malavalli Power Plant Pvt Ltd.,PA,SMALL,1,AMS-I.D. 7.0,Biomass Energy,Agricultural residues: other kinds,Det Norske Veritas- CUK,03-09-05,08-03-06,08-03-06,21-07-06,21-07-06,End of crediting period,Registered,Renewable,01-08-01,31-07-08,"20,691",Renewed,16-01-09,10-03-09,"20,000.00",01-08-08,31-07-15,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,20-02-07,27-04-12,"126,882",5,5,"126,882",, -   ,4.5,None,"3,900,000",,,,,,,,,,,,IN(75),2012m4,Yes,10-Oct-24
302,NOQFBYGZO8M8MUF1M9O5NZO6OPRHZF,"Partial replacement of fossil fuel by biomass as an alternative fuel, for Pyro-Processing in cement plant of Shree Cements Limited at Beawar in Rajasthan, India",PA,LARGE,4,ACM0003 2.0,Biomass Energy,Agricultural residues: other kinds,SGS United Kingdom Limited (SGS),21-12-05,08-03-06,08-03-06,18-05-06,18-05-06,End of crediting period,Registered,Fixed,01-04-06,31-03-16,"107,074",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,Issuance Process,Corrective actions without response,13-04-23,,,,IN(52),2023m4,No,10-Oct-24
304,JST2FYKYCS7APQZ48CA2GGB7Q5A7OH,GACL Blended Cement Projects in India,PA,LARGE,4,ACM0005 2.0,Cement,Clinker replacement,Det Norske Veritas- CUK,21-10-05,15-03-06,15-03-06,08-01-07,08-01-07,End of crediting period,Registered,Fixed,01-01-04,31-12-13,"551,829",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(143),2007m1,No,10-Oct-24
309,DH6D8LA2IM7CW66Z3L0VJ4H0911507,"Process Waste Heat utilization for power generation at Phillips Carbon Black Limited, Gujarat",PA,LARGE,1,ACM0004 1.0,EE own generation,Carbon black gas,Det Norske Veritas- CUK,22-11-05,15-03-06,15-03-06,29-05-06,29-05-06,End of crediting period,Registered,Fixed,30-03-05,29-03-15,"45,721",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,15-11-06,05-03-13,"329,204",7,7,"329,204",, -   ,,None,,,,,,,,,,,,,IN(58),2013m3,No,10-Oct-24
310,FV23M6PXQK5LF26T5X3IV236MT9QD5,Bundled Wind power project in Jaisalmer (Rajasthan in India) managed by Enercon (India) Ltd.,PA,LARGE,1,ACM0002 4.0,Wind,Wind,Det Norske Veritas- CUK,28-05-05,22-03-06,22-03-06,29-05-06,29-05-06,End of crediting period,Registered,Fixed,01-07-04,30-06-14,"98,225",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,02-11-06,17-03-14,"664,811",4,3,"616,042",1,"48,769",58.2,None,"69,245,600",,,14,11.9,13.9,,,,,,,IN(57),2014m3,No,10-Oct-24
312,9U6VY1G415ZRL81FMQGC0EIC62BHVF,"18 MW Kemphole Mini Hydel Scheme (KMHS), by International Power Corporation Limited, India",PA,LARGE,1,ACM0002 4.0,Hydro,Run of river,SGS United Kingdom Limited (SGS),03-11-05,14-03-06,14-03-06,25-05-06,25-05-06,Registered with issuances,Registered,Renewable,20-10-03,19-10-10,"35,775",Renewed,12-08-11,12-08-11,"44,548.00",20-10-10,19-10-17,Renewed,19-11-20,17-02-21,"46,687.00",20-10-17,19-10-24,IN,"ASP,NAI",No,Asia,No,Southern Asia,08-09-06,24-07-15,"448,103",5,5,"362,541",1,"85,562",18,Sales electricity,,,"2,848,671",16,12.4,,Registration Process,Operating under CDM,01-07-16,,,,IN(55),2021m2,No,10-Oct-24
313,JR3JZ9J9OSR0J4AVXTC3HTD43QY0TA,Pandurang SSK RE Project,PA,SMALL,1,AMS-I.D. 7.0,Biomass Energy,Bagasse power,Bureau Veritas Certification Holding SAS (BVCH),07-12-05,14-03-06,14-03-06,05-05-06,05-05-06,End of crediting period,Registered,Fixed,05-05-06,04-05-16,"42,446",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,10-07-08,09-05-14,"271,627",5,5,"259,721",1,"11,906",9,None,,,,,6.8,13.6,,,,,,,IN(44),2023m5,No,10-Oct-24
314,RBNHF10R2B1EB3BIVPDU6HA35FUCQ7,"Optimal Utilization of Clinker in PPC manufacturing at Birla Corporation Limited, Raebareli Unit",PA,LARGE,4,ACM0005 2.0,Cement,Clinker replacement,Det Norske Veritas- CUK,03-11-05,16-03-06,16-03-06,26-05-06,26-05-06,End of crediting period,Registered,Fixed,01-04-01,31-03-11,"26,415",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,10-12-07,10-12-07,"77,786",1,1,"77,786",, -   ,,None,,,,,,,,,,,,,IN(56),2007m12,No,10-Oct-24
315,LDKZF875N9QAV14X33YCQV0NNGS0D0,"125 MW Wind Power Project in Karnataka, India",PA,LARGE,1,ACM0002 4.0,Wind,Wind,Det Norske Veritas- CUK,31-08-05,15-03-06,15-03-06,29-09-06,29-09-06,End of crediting period,Registered,Fixed,22-03-04,21-03-14,"253,240",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,12-02-07,16-12-21,"2,294,228",7,6,"2,014,505",1,"279,723",125,Sales electricity,,,"21,784,206",10.75,7.36,7.87,,,,,,,IN(102),2021m12,No,10-Oct-24
325,XYB4C84CCWXTD3YHG7BYBMUGKUXOTL,"Generation of Electricity through combustion of waste gases from Blast furnace and Corex units at JSW Steel Limited (in JPL unit 1), at Torangallu in Karnataka, India",PA,LARGE,1,ACM0004 1.0,EE own generation,Iron & steel heat,SGS United Kingdom Limited (SGS),03-11-05,16-03-06,16-03-06,12-01-07,12-01-07,End of crediting period,Registered,Fixed,01-04-05,31-03-15,"767,325",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,25-06-07,08-11-13,"5,819,037",8,8,"5,642,037",1,"177,000",100,None,,,,16,11.32,,,,,,,,IN(147),2013m11,No,10-Oct-24
327,PRF06IP3K4KNEW75A780WM30YRV0PK,"Lohgarh, Chakbhai and Sidhana Mini Hydroelectric Projects",PA,SMALL,1,AMS-I.D. 7.0,Hydro,Run of river,TÜV SÜD South Asia Private Limited (TÜV SÜD),15-09-05,17-03-06,17-03-06,30-04-06,30-04-06,End of crediting period,Registered,Fixed,20-11-04,19-11-14,"25,347",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,26-05-06,31-05-13,"191,930",6,6,"191,930",, -   ,5.2,None,"7,300,000",,,,,,,,,,,,IN(41),2013m5,No,10-Oct-24
328,2YQMX364GL4JQLOCDF9HGH1SXXW1T2,"Dolowal, Salar and Bhanubhura Mini Hydroelectric Projects",PA,SMALL,1,AMS-I.D. 7.0,Hydro,Run of river,TÜV SÜD South Asia Private Limited (TÜV SÜD),15-09-05,17-03-06,17-03-06,30-04-06,30-04-06,End of crediting period,Registered,Fixed,26-04-03,25-04-13,"21,026",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,26-05-06,23-09-14,"191,796",7,7,"186,654",1,"5,142",4.2,None,"4,400,000",,,,,,,,,,,,IN(39),2014m9,No,10-Oct-24
329,RVLLNLK0WRS3Y5JIMEOPRQ0D5X00ZU,"Babanpur, Killa and Sahoke Mini Hydroelectric Projects",PA,SMALL,1,AMS-I.D. 7.0,Hydro,Run of river,TÜV SÜD South Asia Private Limited (TÜV SÜD),15-09-05,17-03-06,17-03-06,30-04-06,30-04-06,End of crediting period,Registered,Fixed,01-07-04,30-06-14,"21,292",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,26-05-06,19-09-14,"177,559",7,7,"151,006",1,"26,553",3.75,None,,,,,,,,,,,,,IN(40),2014m9,No,10-Oct-24
330,ZALV3JMGORFQBOINHNBVS5NZXRQOI7,"Manal, Chandni and Timbi Small Hydroelectric Projects of HCPL",PA,SMALL,1,AMS-I.D. 7.0,Hydro,Run of river,TÜV SÜD South Asia Private Limited (TÜV SÜD),05-10-05,17-03-06,17-03-06,21-07-06,21-07-06,End of crediting period,Registered,Fixed,01-07-05,30-06-15,"39,260",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,26-07-07,21-07-11,"40,713",4,4,"40,713",, -   ,9,None,"4,097,373",,,,,,Issuance Process,The verification contract has been terminated,29-04-15,,,,IN(77),2023m2,No,10-Oct-24
331,PU6YC9ETOYKVTUA1VRAYBRHFFIAOSF,"Biomass based independent power project at Malwa Power Private Limited, Mukatsar, Punjab",PA,SMALL,1,AMS-I.D. 7.0,Biomass Energy,Agricultural residues: other kinds,TÜV SÜD South Asia Private Limited (TÜV SÜD),15-10-05,17-03-06,17-03-06,30-04-06,30-04-06,End of crediting period,Registered,Fixed,01-05-05,30-04-15,"43,854",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,08-06-06,01-09-22,"428,361",9,8,"339,994",1,"88,367",7.5,None,"5,854,423",,,,,,,,,,,,IN(42),2022m9,No,10-Oct-24
332,LYLUDMD0K1NFQEO4NXAI3H728JPNRM,Ajbapur Sugar Complex Cogeneration Project,PA,SMALL,1,AMS-I.D. 7.0,Biomass Energy,Bagasse power,TÜV SÜD South Asia Private Limited (TÜV SÜD),15-09-05,17-03-06,17-03-06,01-05-06,01-05-06,End of crediting period,Registered,Fixed,01-10-05,30-09-15,"40,392",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,21-05-07,21-09-16,"213,587",8,6,"164,898",3,"48,689",7.5,None,,,,20,13,23,,,,,,,IN(43),2018m8,No,10-Oct-24
333,U0K13U5B5TX3J28S2HU7ECKNL50X5C,JCT Hoshiarpur Small Scale Biomass Project,PA,SMALL,1,AMS-I.D. 7.0,Biomass Energy,Agricultural residues: rice husk,TÜV SÜD South Asia Private Limited (TÜV SÜD),15-10-05,17-03-06,17-03-06,27-04-06,27-04-06,End of crediting period,Registered,Fixed,01-08-06,31-07-16,"31,270",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,25-03-08,09-08-13,"198,156",6,6,"198,156",, -   ,6,None,"4,750,000",,,,11.1,17.6,,,,,,,IN(38),2022m1,No,10-Oct-24
334,NO5JZDB1OJWXE0EZ1IVV6WJ9KM85P6,LHSF Bagasse Project,PA,SMALL,1,AMS-I.D. 7.0,Biomass Energy,Bagasse power,TÜV SÜD South Asia Private Limited (TÜV SÜD),15-10-05,17-03-06,17-03-06,05-05-06,05-05-06,End of crediting period,Registered,Fixed,30-12-05,29-12-15,"18,506",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,25-05-07,18-02-08,"44,619",2,2,"44,619",, -   ,6.2,None,,,,,,,Issuance Process,The verification contract has been terminated,23-02-15,,,,IN(45),2015m2,No,10-Oct-24
339,W5TBT7FUW9XOXSU08OL1LB0QOPDRCX,"Emission reduction through partial substitution of fossil fuel with alternative fuels like agricultural by-products, tyres and municipal solid waste (MSW) in the manufacturing of portland cement at Grasim Industries Limited-Cement division South (GIL-CDS)",PA,LARGE,4,ACM0003 1.0,Biomass Energy,Agricultural residues: other kinds,Det Norske Veritas- CUK,03-09-05,21-03-06,21-03-06,29-05-06,29-05-06,End of crediting period,Registered,Fixed,01-04-05,31-03-15,"51,932",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,18-12-06,08-04-13,"102,622",3,3,"102,622",, -   ,,None,"3,001,847",,,12,2.5,26,,,,,,,IN(59),2013m4,No,10-Oct-24
340,E8GOTNTTSE951R8EL5ZFEJFP9W3GS4,Reduction in steam consumption in stripper reboilers through process modifications,PA,LARGE,3,AM0018 1.1,EE Industry,Petrochemicals,Det Norske Veritas- CUK,08-11-05,21-03-06,21-03-06,02-06-06,02-06-06,End of crediting period,Registered,Fixed,17-02-04,16-02-14,"34,807",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,05-03-07,17-09-09,"105,036",2,2,"105,036",, -   ,,None,,,,,,,Issuance Process,The verification contract has been terminated,19-11-14,,,,IN(60),2014m11,No,10-Oct-24
341,8G9PK9Z4DL5VKEAB4RR1I6MW7GL8ES,6.5 MW biomass based (rice husk) power generation by M/s Indian Acrylics Ltd. and replacement of electrical power being imported from state electricity grid/ surplus power supply to grid.,PA,SMALL,1,AMS-I.D. 8.0,Biomass Energy,Agricultural residues: rice husk,TÜV Rheinland (China) Ltd. (TÜV Rheinland),03-09-05,25-03-06,25-03-06,05-05-06,05-05-06,End of crediting period,Registered,Fixed,01-04-03,31-03-13,"20,467",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,05-10-06,01-09-08,"55,309",2,2,"55,309",, -   ,6.5,None,"3,100,000",,,,,,,,,,,,IN(46),2008m9,No,10-Oct-24
347,NS9Y8ZRZIIBROPDSBWPJO7A5KHCQ33,"Chambal Power Limited’s (CPL) proposed 7.5 MW biomass based power project at Rangpur,  Kota District, Rajasthan, India",PA,SMALL,1,AMS-I.D. 7.0,Biomass Energy,Agricultural residues: other kinds,SGS United Kingdom Limited (SGS),14-09-05,28-03-06,28-03-06,08-05-06,08-05-06,Registered with issuances,Registered,Renewable,01-03-06,28-02-13,"50,327",Renewed,01-10-13,01-10-13,"44,737.00",01-03-13,29-02-20,Renewed,27-03-20,27-03-20,"44,493.00",01-03-20,28-02-27,IN,"ASP,NAI",No,Asia,No,Southern Asia,12-09-07,17-11-21,"526,755",14,10,"208,201",5,"318,554",7.5,None,"7,300,000",,,,,,Registration Process,Operating no CDM,01-07-18,,,,IN(47),2021m11,No,10-Oct-24
348,QJDHY3ZBLVY8UAB0Z5A8V8GNPZ2Y3A,"Cogeneration system based on biomass (rice-husk) replacing oil fired boiler for process steam and generating power for partly replacement of grid power supply to the plant at M/s Indian Acrylics Ltd., District Sangrur, Punjab, India.",PA,SMALL,1,AMS-I.C. 7.0,Biomass Energy,Agricultural residues: rice husk,TÜV Rheinland (China) Ltd. (TÜV Rheinland),03-09-05,28-03-06,28-03-06,23-03-07,23-03-07,End of crediting period,Registered,Fixed,01-04-03,31-03-13,"47,463",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,14-06-07,16-10-12,"309,420",7,7,"309,420",, -   ,1.03,None,,,,,,,,,,,,,IN(187),2012m10,No,10-Oct-24
350,NBHXSNBQJAG6S2QIGBIG7IZ5TPK9G5,Use of waste gas use for electricity generation at JSW Energy Limited,PA,LARGE,1,ACM0004 1.0,EE own generation,Iron & steel heat,SGS United Kingdom Limited (SGS),23-09-05,31-03-06,31-03-06,12-01-07,12-01-07,End of crediting period,Registered,Fixed,01-08-01,31-07-11,"811,566",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,25-06-07,06-06-14,"5,176,731",3,3,"5,176,731",, -   ,260,None,"5,097,706",,,14,,,,,,,,,IN(146),2014m6,No,10-Oct-24
351,MK54J8EY6M6T8KFGM3PCNQQEQC1D88,Power generation from waste heat of non-recovery type coke ovens at JSPL,PA,LARGE,1,ACM0004 1.0,EE own generation,Coke oven gas,Bureau Veritas Certification Holding SAS (BVCH),30-12-05,31-03-06,31-03-06,19-06-06,19-06-06,End of crediting period,Registered,Fixed,01-03-06,29-02-16,"387,643",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(69),2024m6,No,10-Oct-24
355,IXP3ER8F3TLGTG74TO0VZ250JUBN73,"Bagasse Based cogeneration power project of Rana Sugars Limited, Amritsar District, Punjab;",PA,SMALL,1,AMS-I.D. 8.0,Biomass Energy,Bagasse power,Bureau Veritas Certification Holding SAS (BVCH),08-11-05,21-04-06,21-04-06,08-08-06,08-08-06,End of crediting period,Registered,Renewable,01-03-02,28-02-09,"24,539",Renewed,24-10-09,26-10-09,"23,061.00",01-03-09,28-02-16,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,01-04-10,01-04-10,"152,276",1,1,"152,276",, -   ,12,None,,,,,,,,,,,,,IN(80),2010m8,Yes,10-Oct-24
361,TJ4ZJ8FPVGKS2FNW0PYHHTH9B384KG,"Optimum utilisation of clinker by PPC production at Binani Cement Limited, Rajasthan",PA,LARGE,4,ACM0005 2.0,Cement,Clinker replacement,SGS United Kingdom Limited (SGS),09-11-05,04-04-06,04-04-06,18-06-06,18-06-06,End of crediting period,Registered,Fixed,01-04-03,31-03-13,"21,961",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,28-02-07,02-05-08,"79,864",2,2,"79,864",, -   ,,None,,,,,,,,,,,,,IN(68),2012m12,No,10-Oct-24
