ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
3878,Improved Cookstove Distribution by Climate Detox Private Limited - Phase III,Climate Detox Private Limited,Energy demand,,VMR0006,Registered,India,"360,290",Asia,2024-03-20,2022-08-16,2029-08-15
3848,Climate Action Through Improved Cooking Access In Indo-Gangetic Plains,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"1,767,067",Asia,2024-04-03,2023-06-01,2033-05-31
3850,SHINE - Distribution of LED lightbulbs in India-1,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,"101,925",Asia,2024-01-17,2018-08-13,2028-08-12
3832,"Solar Powered Irrigation Services by Claro Energy, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.B.,Registered,India,"91,823",Asia,2024-06-22,2022-01-12,2029-01-11
3769,SMG - Cookstove Program 1,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,"83,186",Asia,2023-12-18,2022-11-01,2029-10-31
3770,SMG - Cookstove Program 2,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,"90,249",Asia,2024-12-13,2022-12-01,2029-11-30
3771,SMG - Cookstove Program 3,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,"90,249",Asia,2024-10-22,2022-12-01,2029-11-30
3757,Enhancing Lives of communities by distribution of Cookstoves,Outreach Projects Pvt. Ltd.,Energy demand,,VMR0006,Registered,India,"449,956",Asia,2024-01-31,2022-11-20,2029-11-19
3752,SMG - LED Light Program 1,Shri Maa Marketing Private Limited,Energy demand,,AMS-II.C.,Registered,India,"13,402",Asia,2024-04-03,2022-10-01,2029-09-30
3742,Distributed Renewable Energy Program for People and Planet,GEAPP ServiceCO (India) Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"92,663",Asia,2024-12-27,2021-06-23,2031-06-22
3693,Improved Cookstove Distribution by Climate Detox Private Limited- Phase II,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"368,478",Asia,2024-03-07,2022-08-01,2029-07-31
3689,Biodiesel Project by Rajputana Biodiesel Private Limited,Rajputana Biodiesel Private Limited,Chemical industry; Transport,,AMS-III.AK,Registered,India,"126,559",Asia,2024-05-17,2020-12-15,2027-12-14
3680,Improved Cookstove Distribution by Climate Detox Private Limited- Phase I,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"368,478",Asia,2024-03-06,2022-07-10,2029-07-09
3658,DISTRIBUTION OF FUEL EFFICIENT IMPROVED COOKSTOVES IN INDIA,SB Agri Renewable Private Limited,Energy demand,,VMR0006,Registered,India,"103,850",Asia,2024-08-27,2021-03-01,2028-02-29
3655,Sustainable Paddy Program,AgriCapita Innotech Private Limited,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,India,"54,252",Asia,2025-05-02,2022-07-01,2032-06-30
3657,Grouped Commercial Vehicle EV Project in India,Multiple Proponents,Transport,,AMS-I.F.; AMS-III.C.,Registered,India,"7,052",Asia,2023-09-05,2021-03-23,2031-03-22
3544,Solid Waste to Energy Production Facility Sonepat,JBM Environment Management Pvt Ltd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,India,"152,616",Asia,2024-06-10,2021-08-13,2031-08-12
3553,COMMUNITY PARTICIPATIVE FORESTRY/AGROFORESTRY DEVELOPMENT PROJECT IN INDIA,Indian Farm Forestry Development Co-operative Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registered,India,"10,371",Asia,2025-03-21,2015-07-01,2035-06-30
3556,Grouped Rooftop Solar Project by Tata Power Renewable Energy Limited,Tata Power Renewable Energy Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"17,764",Asia,2024-02-20,2020-10-01,2027-09-30
3534,7.81MW solar power project by AMPSolar Generation Private Limited,AMPSolar Generation Private Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"11,212",Asia,2024-06-06,2020-12-26,2027-12-25
3460,LED distribution project by EKI Energy Services Limited,EKI Energy Services Limited,Energy demand,,AMS-II.C.,Registered,India,"18,778",Asia,2024-07-16,2022-09-24,2029-09-23
3455,Enhancing livelihood of rural communities in India through improved cook stoves by Shri Maa,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,"87,147",Asia,2024-11-20,2022-08-01,2029-07-31
3413,Installation of high efficiency cookstoves in India by AGS Carbon – Project 2,AGS Carbon Advisory,Energy demand,,VMR0006,Registered,India,"333,938",Asia,2024-01-04,2023-06-10,2030-06-09
3360,Developing climate resilience of the coastal communities of Sundarbans through Mangrove Afforestation,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Registered,India,"29,782",Asia,2025-01-15,2021-08-28,2041-08-27
3361,Participatory Mangrove Afforestation & Restoration in the west coast of India,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Registered,India,"9,003",Asia,2025-01-24,2022-05-14,2122-05-13
3286,Grouped Water Purification Project in India,Multiple Proponents,Energy demand,,AMS-III.AV.,Registered,India,"23,070",Asia,2024-09-03,2021-12-08,2031-12-07
3282,Solid Waste Management Project at Moradabad,HARI BHARI MORADABAD WASTE MANAGEMENT PRIVATE LIMITED,Waste handling and disposal,,ACM0022,Registered,India,"52,510",Asia,2024-07-05,2020-09-01,2030-08-31
3249,Global Cookstove Program (Phase 21),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,956",Asia,2024-08-22,2023-06-01,2030-05-31
3250,Global Cookstove Program (Phase 22),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,956",Asia,2024-01-16,2023-03-01,2030-02-28
3251,Global Cookstove Program (Phase 23),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,956",Asia,2024-03-25,2023-02-15,2030-02-14
3252,Global Cookstove Program (Phase 24),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,956",Asia,2024-01-26,2022-03-01,2029-02-28
3253,Global Cookstove Program (Phase 25),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,956",Asia,2024-01-26,2023-03-01,2030-02-28
